agent_id,region,role,department,unit,assignment_start_date,assignment_end_date,detention_center_name,supervisor_id
20,Southeast,Senior Agent,Office of Professional Responsibility,Fugitive Operations,2024-02-07,2024-07-27,Adelanto ICE Processing Center (CA),389.0
21,West,Senior Agent,Management & Administration,Intelligence,2021-06-26,2024-12-19,Otay Mesa Detention Center (CA),216.0
22,West,Analyst,Homeland Security Investions (HSI),Transportation and Removal Operations,2023-10-07,2026-04-21,Port Isabel Detention Center (TX),264.0
23,Mountain,Agent,Homeland Security Investions (HSI),Detention Management,2021-11-23,,Adelanto ICE Processing Center (CA),283.0
24,West,Analyst,Homeland Security Investions (HSI),Fugitive Operations,2023-12-20,2025-05-01,Adelanto ICE Processing Center (CA),34.0
25,Southeast,Supervisor,Enforcement and Removal Operations (ERO),Intelligence,2021-07-24,2022-11-04,Eloy Detention Center (AZ),276.0
26,West,Analyst,Office of Professional Responsibility,Field Operations,2024-05-25,2026-10-05,Eloy Detention Center (AZ),97.0
27,Southeast,Agent,Management & Administration,Transportation and Removal Operations,2022-04-21,2022-09-08,Port Isabel Detention Center (TX),344.0
28,Southeast,Agent,Management & Administration,Transportation and Removal Operations,2021-05-24,,Adelanto ICE Processing Center (CA),274.0
29,Mountain,Senior Agent,Management & Administration,Detention Management,2022-08-05,,Tacoma ICE Processing Center (WA),38.0
30,Mountain,Analyst,Enforcement and Removal Operations (ERO),Fugitive Operations,2024-09-08,,LaSalle ICE Processing Center (LA),47.0
31,West,Senior Agent,Management & Administration,Field Operations,2021-03-13,2021-08-10,Krome Detention Center (FL),84.0
32,Mountain,Agent,Management & Administration,Transportation and Removal Operations,2021-08-07,2024-10-18,Krome Detention Center (FL),338.0
33,Mountain,Senior Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2020-04-29,2023-06-13,Eloy Detention Center (AZ),31.0
34,Southwest,Agent,Enforcement and Removal Operations (ERO),Intelligence,2022-10-26,2025-11-16,Krome Detention Center (FL),80.0
35,Southeast,Analyst,Enforcement and Removal Operations (ERO),Detention Management,2023-05-03,,Adelanto ICE Processing Center (CA),120.0
36,Mountain,Agent,Office of Professional Responsibility,Detention Management,2023-05-02,,Florence Detention Center (AZ),41.0
37,Mountain,Analyst,Office of Professional Responsibility,Intelligence,2021-06-18,,Aurora ICE Processing Center (CO),366.0
38,Southwest,Senior Agent,Homeland Security Investigations (HSI),Field Operations,2023-10-07,2026-05-30,Otay Mesa Detention Center (CA),161.0
39,Southeast,Agent,Management & Administration,Intelligence,2020-07-23,,Florence Detention Center (AZ),109.0
40,Southwest,Senior Agent,Homeland Security Investigations (HSI),Fugitive Operations,2022-01-26,,Eloy Detention Center (AZ),224.0
41,Southwest,Analyst,Office of Professional Responsibility,Fugitive Operations,2021-09-05,2022-05-05,LaSalle ICE Processing Center (LA),68.0
42,Southwest,Agent,Enforcement and Removal Operations (ERO),Intelligence,2021-07-11,,Otay Mesa Detention Center (CA),107.0
43,Southwest,Senior Agent,Homeland Security Investigations (HSI),Intelligence,2021-05-29,2021-10-10,Krome Detention Center (FL),47.0
44,Mountain,Supervisor,Enforcement and Removal Operations (ERO),Fugitive Operations,2024-04-28,,Aurora ICE Processing Center (CO),134.0
45,West,Deputy Director,Office of Professional Responsibility,Field Operations,2020-01-20,,LaSalle ICE Processing Center (LA),353.0
46,West,Analyst,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2023-02-05,,Florence Detention Center (AZ),65.0
47,Southeast,Supervisor,Homeland Security Investigations (HSI),Fugitive Operations,2021-03-06,2024-12-30,Aurora ICE Processing Center (CO),52.0
48,Southwest,Analyst,Management & Administration,Intelligence,2021-04-29,2022-05-26,Otay Mesa Detention Center (CA),211.0
49,Southeast,Senior Agent,Homeland Security Investigations (HSI),Field Operations,2021-06-30,,Eloy Detention Center (AZ),359.0
50,Southeast,Deputy Director,Enforcement and Removal Operations (ERO),Field Operations,2021-02-12,2023-10-12,Eloy Detention Center (AZ),179.0
51,Southwest,Senior Agent,Homeland Security Investions (HSI),Fugitive Operations,2022-03-27,2022-09-15,Eloy Detention Center (AZ),395.0
52,Southwest,Supervisor,Office of Professional Responsibility,Field Operations,2021-11-09,2022-08-02,LaSalle ICE Processing Center (LA),133.0
53,West,Analyst,Homeland Security Investigations (HSI),Fugitive Operations,2023-05-06,2025-03-08,Adelanto ICE Processing Center (CA),223.0
54,Southeast,Deputy Director,Office of Professional Responsibility,Detention Management,2020-03-31,2020-05-03,Tacoma ICE Processing Center (WA),266.0
55,West,Supervisor,Management & Administration,Fugitive Operations,2023-06-30,2024-04-10,Aurora ICE Processing Center (CO),368.0
56,Southwest,Analyst,Homeland Security Investigations (HSI),Field Operations,2022-04-04,2025-06-12,Aurora ICE Processing Center (CO),65.0
57,West,Deputy Director,Management & Administration,Detention Management,2023-03-11,2026-05-06,Florence Detention Center (AZ),
58,Southwest,Supervisor,Homeland Security Investions (HSI),Field Operations,2023-05-27,2026-02-02,Florence Detention Center (AZ),226.0
59,Mountain,Senior Agent,Office of Professional Responsibility,Field Operations,2023-09-11,,Otay Mesa Detention Center (CA),263.0
60,Southwest,Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2024-07-09,,Eloy Detention Center (AZ),12.0
61,Southeast,Senior Agent,Management & Administration,Intelligence,2022-07-21,2026-03-01,Adelanto ICE Processing Center (CA),294.0
62,West,Deputy Director,Management & Administration,Field Operations,2020-10-29,2020-12-09,Eloy Detention Center (AZ),384.0
63,Southeast,Deputy Director,Homeland Security Investions (HSI),Detention Management,2022-08-09,,LaSalle ICE Processing Center (LA),127.0
64,Southeast,Deputy Director,Homeland Security Investions (HSI),Field Operations,2023-02-18,2025-09-11,LaSalle ICE Processing Center (LA),313.0
65,Mountain,Analyst,Management & Administration,Detention Management,2022-07-10,,Krome Detention Center (FL),126.0
66,Southwest,Analyst,Management & Administration,Detention Management,2022-06-19,,Tacoma ICE Processing Center (WA),146.0
67,West,Supervisor,Homeland Security Investigations (HSI),Transportation and Removal Operations,2020-06-14,,LaSalle ICE Processing Center (LA),118.0
68,Mountain,Senior Agent,Homeland Security Investions (HSI),Fugitive Operations,2022-04-14,2024-12-23,Port Isabel Detention Center (TX),212.0
69,Southeast,Senior Agent,Management & Administration,Field Operations,2023-11-25,,Florence Detention Center (AZ),391.0
70,Mountain,Deputy Director,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2024-03-23,2026-08-28,Tacoma ICE Processing Center (WA),275.0
71,West,Deputy Director,Homeland Security Investions (HSI),Transportation and Removal Operations,2022-09-21,,Port Isabel Detention Center (TX),172.0
72,Mountain,Senior Agent,Management & Administration,Detention Management,2022-12-29,,Florence Detention Center (AZ),201.0
73,Southeast,Agent,Management & Administration,Detention Management,2021-01-07,,Krome Detention Center (FL),194.0
74,Southwest,Senior Agent,Management & Administration,Transportation and Removal Operations,2024-04-07,2025-11-27,Aurora ICE Processing Center (CO),385.0
75,Mountain,Supervisor,Enforcement and Removal Operations (ERO),Field Operations,2024-03-14,2026-03-30,Stewart Detention Center (GA),114.0
76,Southeast,Agent,Enforcement and Removal Operations (ERO),Detention Management,2024-09-14,,Eloy Detention Center (AZ),78.0
77,West,Senior Agent,Management & Administration,Fugitive Operations,2021-03-22,2022-09-27,Florence Detention Center (AZ),392.0
78,Southwest,Senior Agent,Office of Professional Responsibility,Intelligence,2024-05-11,2026-03-09,Adelanto ICE Processing Center (CA),55.0
79,Southeast,Supervisor,Office of Professional Responsibility,Field Operations,2024-01-04,,Port Isabel Detention Center (TX),303.0
80,West,Agent,Homeland Security Investigations (HSI),Intelligence,2024-06-18,2024-10-10,Adelanto ICE Processing Center (CA),177.0
81,Mountain,Supervisor,Enforcement and Removal Operations (ERO),Intelligence,2020-01-26,2022-11-24,Aurora ICE Processing Center (CO),54.0
82,Mountain,Supervisor,Management & Administration,Detention Management,2020-12-26,2024-09-18,Port Isabel Detention Center (TX),138.0
83,Mountain,Deputy Director,Management & Administration,Intelligence,2021-10-22,2022-05-17,Tacoma ICE Processing Center (WA),142.0
84,Mountain,Senior Agent,Management & Administration,Intelligence,2023-09-30,2023-12-27,Florence Detention Center (AZ),253.0
85,Southwest,Senior Agent,Management & Administration,Detention Management,2024-06-21,,Aurora ICE Processing Center (CO),143.0
86,Southwest,Analyst,Enforcement and Removal Operations (ERO),Intelligence,2020-06-24,,Eloy Detention Center (AZ),208.0
87,Mountain,Analyst,Homeland Security Investions (HSI),Field Operations,2022-07-06,2023-02-11,Krome Detention Center (FL),150.0
88,West,Deputy Director,Homeland Security Investions (HSI),Transportation and Removal Operations,2022-01-25,2025-02-15,Florence Detention Center (AZ),176.0
89,Mountain,Analyst,Homeland Security Investigations (HSI),Transportation and Removal Operations,2021-07-08,2022-11-22,Krome Detention Center (FL),61.0
90,West,Supervisor,Enforcement and Removal Operations (ERO),Intelligence,2021-01-27,,Otay Mesa Detention Center (CA),247.0
91,Southwest,Analyst,Office of Professional Responsibility,Intelligence,2020-07-24,2022-04-21,Tacoma ICE Processing Center (WA),116.0
92,Southwest,Senior Agent,Homeland Security Investigations (HSI),Fugitive Operations,2020-09-16,,LaSalle ICE Processing Center (LA),27.0
93,Southwest,Senior Agent,Management & Administration,Fugitive Operations,2023-03-21,,Stewart Detention Center (GA),245.0
94,Mountain,Supervisor,Homeland Security Investions (HSI),Fugitive Operations,2024-10-30,2025-04-11,Tacoma ICE Processing Center (WA),205.0
95,Mountain,Agent,Office of Professional Responsibility,Fugitive Operations,2020-11-01,2022-08-15,Otay Mesa Detention Center (CA),43.0
96,West,Agent,Office of Professional Responsibility,Field Operations,2023-05-05,2024-09-08,Florence Detention Center (AZ),397.0
97,Mountain,Deputy Director,Management & Administration,Transportation and Removal Operations,2022-05-28,2025-12-19,Florence Detention Center (AZ),30.0
98,Southeast,Senior Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2020-11-17,,Adelanto ICE Processing Center (CA),282.0
99,Southeast,Senior Agent,Enforcement and Removal Operations (ERO),Field Operations,2023-11-12,2025-07-30,Krome Detention Center (FL),16.0
100,West,Supervisor,Homeland Security Investigations (HSI),Field Operations,2023-11-08,,Adelanto ICE Processing Center (CA),135.0
101,West,Deputy Director,Enforcement and Removal Operations (ERO),Intelligence,2023-08-19,,Eloy Detention Center (AZ),136.0
102,West,Agent,Enforcement and Removal Operations (ERO),Detention Management,2023-05-03,2026-08-10,Tacoma ICE Processing Center (WA),147.0
103,Mountain,Agent,Management & Administration,Transportation and Removal Operations,2021-07-11,2024-05-17,Port Isabel Detention Center (TX),224.0
104,Southeast,Analyst,Enforcement and Removal Operations (ERO),Field Operations,2023-05-21,,Aurora ICE Processing Center (CO),46.0
105,West,Analyst,Office of Professional Responsibility,Fugitive Operations,2023-03-26,,Tacoma ICE Processing Center (WA),387.0
106,West,Deputy Director,Office of Professional Responsibility,Field Operations,2021-01-06,2023-07-17,Tacoma ICE Processing Center (WA),325.0
107,Mountain,Agent,Management & Administration,Transportation and Removal Operations,2021-11-13,2022-07-15,Port Isabel Detention Center (TX),82.0
108,Southwest,Deputy Director,Management & Administration,Transportation and Removal Operations,2024-07-24,2024-11-06,Port Isabel Detention Center (TX),232.0
109,Southeast,Supervisor,Homeland Security Investigations (HSI),Transportation and Removal Operations,2024-05-01,2027-04-19,Adelanto ICE Processing Center (CA),
110,Mountain,Deputy Director,Enforcement and Removal Operations (ERO),Detention Management,2022-01-10,2024-11-25,LaSalle ICE Processing Center (LA),320.0
111,Mountain,Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2020-09-25,2023-04-10,LaSalle ICE Processing Center (LA),357.0
112,Mountain,Agent,Enforcement and Removal Operations (ERO),Intelligence,2023-12-24,,Eloy Detention Center (AZ),282.0
113,Southeast,Analyst,Management & Administration,Fugitive Operations,2024-09-19,2027-05-22,Eloy Detention Center (AZ),60.0
114,West,Deputy Director,Homeland Security Investigations (HSI),Intelligence,2022-04-30,2025-01-21,Tacoma ICE Processing Center (WA),124.0
115,Mountain,Analyst,Homeland Security Investions (HSI),Field Operations,2023-05-12,2024-03-16,Eloy Detention Center (AZ),35.0
116,Southwest,Deputy Director,Homeland Security Investigations (HSI),Intelligence,2024-08-07,,Tacoma ICE Processing Center (WA),371.0
117,Southwest,Analyst,Office of Professional Responsibility,Field Operations,2022-07-03,2024-07-08,Otay Mesa Detention Center (CA),170.0
118,Mountain,Deputy Director,Homeland Security Investigations (HSI),Detention Management,2023-03-17,2025-08-04,Eloy Detention Center (AZ),22.0
119,Southwest,Deputy Director,Management & Administration,Field Operations,2022-10-11,2023-07-26,Otay Mesa Detention Center (CA),257.0
120,Southwest,Agent,Management & Administration,Fugitive Operations,2022-07-24,,LaSalle ICE Processing Center (LA),73.0
121,Mountain,Senior Agent,Enforcement and Removal Operations (ERO),Field Operations,2021-11-24,2024-03-17,Tacoma ICE Processing Center (WA),332.0
122,Southeast,Supervisor,Office of Professional Responsibility,Field Operations,2023-07-07,2026-05-01,Aurora ICE Processing Center (CO),277.0
123,Southeast,Analyst,Enforcement and Removal Operations (ERO),Detention Management,2021-04-10,2023-10-15,Tacoma ICE Processing Center (WA),50.0
124,Southeast,Deputy Director,Homeland Security Investions (HSI),Transportation and Removal Operations,2020-04-04,2020-08-26,Stewart Detention Center (GA),150.0
125,Southwest,Supervisor,Management & Administration,Detention Management,2022-12-23,2026-11-18,Eloy Detention Center (AZ),92.0
126,West,Senior Agent,Enforcement and Removal Operations (ERO),Intelligence,2023-06-23,2026-05-07,Port Isabel Detention Center (TX),298.0
127,West,Senior Agent,Management & Administration,Transportation and Removal Operations,2021-06-06,2024-02-13,Krome Detention Center (FL),147.0
128,West,Agent,Management & Administration,Transportation and Removal Operations,2021-09-04,2024-02-19,Florence Detention Center (AZ),353.0
129,Southwest,Deputy Director,Homeland Security Investigations (HSI),Detention Management,2024-10-13,2026-03-12,Port Isabel Detention Center (TX),195.0
130,Southwest,Analyst,Homeland Security Investigations (HSI),Transportation and Removal Operations,2024-08-26,2026-04-10,Stewart Detention Center (GA),4.0
131,Southeast,Analyst,Management & Administration,Transportation and Removal Operations,2023-05-28,2024-09-17,Eloy Detention Center (AZ),325.0
132,West,Analyst,Homeland Security Investigations (HSI),Detention Management,2023-07-09,2025-05-01,Adelanto ICE Processing Center (CA),225.0
133,Southeast,Analyst,Homeland Security Investigations (HSI),Detention Management,2021-08-27,2024-01-24,Adelanto ICE Processing Center (CA),89.0
134,West,Senior Agent,Office of Professional Responsibility,Transportation and Removal Operations,2022-10-24,2023-10-25,LaSalle ICE Processing Center (LA),131.0
135,Mountain,Supervisor,Homeland Security Investigations (HSI),Fugitive Operations,2020-06-03,,Krome Detention Center (FL),115.0
136,Mountain,Analyst,Homeland Security Investigations (HSI),Fugitive Operations,2020-01-29,,Port Isabel Detention Center (TX),63.0
137,Mountain,Supervisor,Homeland Security Investigations (HSI),Intelligence,2024-08-11,2026-10-10,Port Isabel Detention Center (TX),55.0
138,West,Deputy Director,Enforcement and Removal Operations (ERO),Intelligence,2021-11-02,2023-02-28,LaSalle ICE Processing Center (LA),331.0
139,Southeast,Deputy Director,Homeland Security Investigations (HSI),Field Operations,2020-10-13,,Adelanto ICE Processing Center (CA),19.0
140,Southwest,Deputy Director,Enforcement and Removal Operations (ERO),Fugitive Operations,2024-12-22,2027-03-27,Eloy Detention Center (AZ),232.0
141,Southwest,Analyst,Management & Administration,Intelligence,2024-12-18,2025-08-07,Otay Mesa Detention Center (CA),250.0
142,Mountain,Supervisor,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2022-06-27,2023-11-22,Eloy Detention Center (AZ),185.0
143,Southeast,Supervisor,Office of Professional Responsibility,Transportation and Removal Operations,2022-03-26,,Stewart Detention Center (GA),62.0
144,Mountain,Agent,Homeland Security Investions (HSI),Intelligence,2020-04-13,2021-09-23,Stewart Detention Center (GA),64.0
145,West,Agent,Office of Professional Responsibility,Detention Management,2021-03-18,2022-08-07,Florence Detention Center (AZ),168.0
146,West,Analyst,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2020-09-23,2021-10-15,Otay Mesa Detention Center (CA),56.0
147,Southeast,Senior Agent,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2023-04-20,2024-05-10,Eloy Detention Center (AZ),135.0
148,Southeast,Senior Agent,Management & Administration,Intelligence,2024-03-07,,Adelanto ICE Processing Center (CA),229.0
149,Southwest,Analyst,Office of Professional Responsibility,Fugitive Operations,2022-10-28,,Krome Detention Center (FL),314.0
150,Southeast,Analyst,Homeland Security Investigations (HSI),Field Operations,2020-05-04,2022-09-03,Stewart Detention Center (GA),218.0
151,Southeast,Deputy Director,Management & Administration,Fugitive Operations,2021-10-21,2022-04-03,Adelanto ICE Processing Center (CA),64.0
152,Southwest,Analyst,Office of Professional Responsibility,Intelligence,2022-02-19,2025-03-11,Aurora ICE Processing Center (CO),150.0
153,Mountain,Analyst,Office of Professional Responsibility,Field Operations,2024-06-12,2028-03-13,Adelanto ICE Processing Center (CA),333.0
154,West,Deputy Director,Management & Administration,Detention Management,2021-11-25,2024-03-20,Port Isabel Detention Center (TX),212.0
155,Southeast,Supervisor,Management & Administration,Transportation and Removal Operations,2022-02-05,2026-01-11,Tacoma ICE Processing Center (WA),242.0
156,Southeast,Agent,Enforcement and Removal Operations (ERO),Fugitive Operations,2020-07-16,2022-09-17,Port Isabel Detention Center (TX),66.0
157,Southeast,Analyst,Office of Professional Responsibility,Intelligence,2023-10-04,,Aurora ICE Processing Center (CO),181.0
158,Mountain,Agent,Homeland Security Investigations (HSI),Intelligence,2021-12-21,,Tacoma ICE Processing Center (WA),259.0
159,West,Senior Agent,Management & Administration,Detention Management,2021-12-18,2024-02-08,Adelanto ICE Processing Center (CA),58.0
160,Southwest,Analyst,Homeland Security Investions (HSI),Field Operations,2024-04-20,2027-10-28,LaSalle ICE Processing Center (LA),345.0
161,Southeast,Analyst,Homeland Security Investigations (HSI),Fugitive Operations,2021-07-13,2023-05-06,Otay Mesa Detention Center (CA),173.0
162,Southwest,Agent,Homeland Security Investions (HSI),Detention Management,2023-09-08,2024-07-24,Florence Detention Center (AZ),379.0
163,Southeast,Agent,Office of Professional Responsibility,Detention Management,2022-05-09,2023-04-26,Port Isabel Detention Center (TX),189.0
164,Southwest,Supervisor,Office of Professional Responsibility,Intelligence,2024-12-14,,Adelanto ICE Processing Center (CA),80.0
165,Southeast,Agent,Homeland Security Investigations (HSI),Field Operations,2022-09-21,2025-02-15,Port Isabel Detention Center (TX),139.0
166,West,Analyst,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2020-08-15,,Port Isabel Detention Center (TX),347.0
167,Mountain,Analyst,Homeland Security Investigations (HSI),Fugitive Operations,2022-03-20,2022-08-09,Eloy Detention Center (AZ),3.0
168,West,Supervisor,Homeland Security Investions (HSI),Detention Management,2021-08-15,2021-09-29,Tacoma ICE Processing Center (WA),254.0
169,Mountain,Senior Agent,Homeland Security Investions (HSI),Field Operations,2023-12-12,,LaSalle ICE Processing Center (LA),286.0
170,Southwest,Agent,Management & Administration,Fugitive Operations,2020-02-08,2020-08-15,Port Isabel Detention Center (TX),160.0
171,Mountain,Analyst,Management & Administration,Field Operations,2020-08-23,2022-07-19,Tacoma ICE Processing Center (WA),87.0
172,Mountain,Supervisor,Enforcement and Removal Operations (ERO),Field Operations,2021-05-13,2023-09-10,Adelanto ICE Processing Center (CA),268.0
173,Southeast,Deputy Director,Homeland Security Investigations (HSI),Transportation and Removal Operations,2021-11-13,2022-05-18,Eloy Detention Center (AZ),261.0
174,Southeast,Analyst,Office of Professional Responsibility,Detention Management,2021-12-20,2025-09-01,Aurora ICE Processing Center (CO),75.0
175,West,Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2020-12-21,2024-09-23,Eloy Detention Center (AZ),38.0
176,West,Deputy Director,Management & Administration,Intelligence,2022-07-08,2025-10-06,Florence Detention Center (AZ),329.0
177,Southwest,Supervisor,Homeland Security Investions (HSI),Field Operations,2022-08-18,2024-05-29,Adelanto ICE Processing Center (CA),140.0
178,Southeast,Supervisor,Office of Professional Responsibility,Fugitive Operations,2022-08-03,2022-12-27,Tacoma ICE Processing Center (WA),188.0
179,Southwest,Agent,Enforcement and Removal Operations (ERO),Intelligence,2022-11-04,2026-03-06,Florence Detention Center (AZ),283.0
180,Southeast,Deputy Director,Office of Professional Responsibility,Detention Management,2023-05-24,2024-04-26,Aurora ICE Processing Center (CO),31.0
181,Mountain,Agent,Homeland Security Investigations (HSI),Fugitive Operations,2023-08-16,,LaSalle ICE Processing Center (LA),126.0
182,Mountain,Deputy Director,Office of Professional Responsibility,Intelligence,2020-11-21,2022-07-23,Florence Detention Center (AZ),198.0
183,Mountain,Supervisor,Office of Professional Responsibility,Fugitive Operations,2020-05-14,2023-07-30,Aurora ICE Processing Center (CO),347.0
184,Mountain,Supervisor,Homeland Security Investigations (HSI),Intelligence,2021-11-13,,Otay Mesa Detention Center (CA),339.0
185,West,Supervisor,Homeland Security Investigations (HSI),Field Operations,2023-05-03,2023-11-22,Otay Mesa Detention Center (CA),158.0
186,Mountain,Supervisor,Homeland Security Investions (HSI),Intelligence,2023-08-16,2026-07-22,Adelanto ICE Processing Center (CA),185.0
187,Southeast,Supervisor,Homeland Security Investigations (HSI),Detention Management,2021-11-30,2024-09-20,Eloy Detention Center (AZ),98.0
188,West,Senior Agent,Homeland Security Investions (HSI),Fugitive Operations,2024-09-25,2027-08-30,Tacoma ICE Processing Center (WA),394.0
189,Southeast,Supervisor,Office of Professional Responsibility,Detention Management,2022-02-10,,Florence Detention Center (AZ),92.0
190,West,Deputy Director,Enforcement and Removal Operations (ERO),Field Operations,2023-10-17,2026-05-13,Aurora ICE Processing Center (CO),312.0
191,Southwest,Deputy Director,Homeland Security Investions (HSI),Intelligence,2021-09-25,2024-06-11,Eloy Detention Center (AZ),99.0
192,Southwest,Analyst,Management & Administration,Field Operations,2024-05-12,2027-05-27,Tacoma ICE Processing Center (WA),214.0
193,West,Senior Agent,Office of Professional Responsibility,Detention Management,2020-04-16,2022-06-15,Tacoma ICE Processing Center (WA),283.0
194,Southeast,Analyst,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2024-04-11,,Adelanto ICE Processing Center (CA),230.0
195,West,Deputy Director,Enforcement and Removal Operations (ERO),Detention Management,2024-12-16,2025-03-10,Krome Detention Center (FL),212.0
196,Southeast,Deputy Director,Office of Professional Responsibility,Transportation and Removal Operations,2022-03-01,2024-05-06,Eloy Detention Center (AZ),114.0
197,Southeast,Supervisor,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2020-10-08,,Otay Mesa Detention Center (CA),241.0
198,West,Deputy Director,Management & Administration,Intelligence,2020-06-11,,Stewart Detention Center (GA),110.0
199,West,Analyst,Office of Professional Responsibility,Intelligence,2020-08-15,2022-01-13,Port Isabel Detention Center (TX),154.0
200,Southeast,Agent,Homeland Security Investions (HSI),Field Operations,2022-07-25,,Florence Detention Center (AZ),255.0
201,Southeast,Analyst,Office of Professional Responsibility,Detention Management,2021-08-19,2025-02-28,Otay Mesa Detention Center (CA),180.0
202,West,Analyst,Management & Administration,Detention Management,2022-12-08,2023-05-25,Adelanto ICE Processing Center (CA),269.0
203,Southeast,Deputy Director,Management & Administration,Fugitive Operations,2022-02-03,,Port Isabel Detention Center (TX),8.0
204,Southwest,Agent,Homeland Security Investigations (HSI),Detention Management,2024-04-29,2026-04-09,Adelanto ICE Processing Center (CA),68.0
205,Southeast,Supervisor,Office of Professional Responsibility,Transportation and Removal Operations,2024-08-27,2027-05-05,Otay Mesa Detention Center (CA),356.0
206,Mountain,Senior Agent,Homeland Security Investions (HSI),Fugitive Operations,2020-03-16,,Krome Detention Center (FL),22.0
207,West,Agent,Homeland Security Investigations (HSI),Transportation and Removal Operations,2022-03-26,2025-05-11,LaSalle ICE Processing Center (LA),242.0
208,Southwest,Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2024-10-31,2028-08-03,Aurora ICE Processing Center (CO),169.0
209,Southwest,Agent,Homeland Security Investigations (HSI),Field Operations,2024-03-02,2026-06-01,Port Isabel Detention Center (TX),173.0
210,West,Deputy Director,Management & Administration,Transportation and Removal Operations,2021-06-30,2023-12-16,LaSalle ICE Processing Center (LA),40.0
211,Mountain,Analyst,Homeland Security Investions (HSI),Intelligence,2021-10-19,,Tacoma ICE Processing Center (WA),167.0
212,Southwest,Supervisor,Management & Administration,Intelligence,2020-12-07,2022-12-26,Port Isabel Detention Center (TX),228.0
213,Southeast,Supervisor,Office of Professional Responsibility,Field Operations,2023-08-02,2023-12-27,Tacoma ICE Processing Center (WA),38.0
214,Mountain,Supervisor,Office of Professional Responsibility,Detention Management,2020-10-19,2024-09-06,Stewart Detention Center (GA),400.0
215,Mountain,Agent,Homeland Security Investions (HSI),Fugitive Operations,2024-05-13,2026-06-23,Eloy Detention Center (AZ),196.0
216,Southeast,Analyst,Homeland Security Investions (HSI),Field Operations,2022-01-31,2022-08-06,Aurora ICE Processing Center (CO),293.0
217,West,Analyst,Homeland Security Investigations (HSI),Field Operations,2023-08-23,,Aurora ICE Processing Center (CO),58.0
218,Southeast,Senior Agent,Management & Administration,Intelligence,2023-02-24,,Port Isabel Detention Center (TX),396.0
